# z	n(z)
316	2.828564e+00
317	2.829609e+00
318	2.830645e+00
319	2.831671e+00
320	2.832688e+00
321	2.833695e+00
322	2.834694e+00
323	2.835683e+00
324	2.836664e+00
325	2.837636e+00
326	2.838599e+00
327	2.839553e+00
328	2.840499e+00
329	2.841437e+00
330	2.842367e+00
331	2.843288e+00
332	2.844201e+00
333	2.845106e+00
334	2.846004e+00
335	2.846893e+00
336	2.847775e+00
337	2.848649e+00
338	2.849516e+00
339	2.850375e+00
340	2.851227e+00
341	2.852072e+00
342	2.852909e+00
343	2.853739e+00
344	2.854563e+00
345	2.855379e+00
346	2.856188e+00
347	2.856991e+00
348	2.857787e+00
349	2.858576e+00
350	2.859359e+00
351	2.860135e+00
352	2.860905e+00
353	2.861668e+00
354	2.862425e+00
355	2.863176e+00
356	2.863921e+00
357	2.864660e+00
358	2.865392e+00
359	2.866119e+00
360	2.881877e+00
